,TRGT_YEAR,GHG_EMS
704,2016,31292
705,2016,15671
706,2016,83004
707,2016,170326
708,2016,124238
709,2016,431931
710,2016,168062
711,2016,29771
712,2016,57399
713,2016,185843
714,2016,239693
715,2016,30015
716,2016,19156
717,2016,17378
718,2016,143504
719,2016,27264
720,2016,1629876
721,2016,168191
722,2016,289191
723,2016,23385
724,2016,43780
725,2016,334166
726,2016,19372
727,2016,24026
728,2016,30736
729,2016,527579
730,2016,111601
731,2016,26818
732,2016,84098
733,2016,26312
734,2016,80484
735,2016,16164
736,2016,640051
737,2016,105317
738,2016,145651
739,2016,21993
740,2016,15751
741,2016,116302
742,2016,19218
743,2016,92837
744,2016,1096111
745,2016,203624
746,2016,246949
747,2016,20471
748,2016,25810
749,2016,25171
750,2016,21664
751,2016,126960
752,2016,240921
753,2016,16697
754,2016,135525
755,2016,59901
756,2016,19935
757,2016,118610
758,2016,291809
759,2016,75314
760,2016,807377
761,2016,29557
762,2016,105888
763,2016,12163252
764,2016,63313
765,2016,2001309
766,2016,103278
767,2016,119905
768,2016,38616
769,2016,16362
770,2016,524891
771,2016,28086
772,2016,21694
773,2016,160356
774,2016,29096
775,2016,53701
776,2016,60754
777,2016,93099
778,2016,38789
779,2016,167933
780,2016,72975
781,2016,74877
782,2016,22989
783,2016,828695
784,2016,67681
785,2016,30823
786,2016,74608
787,2016,12970
788,2016,59734301
789,2016,34255207
790,2016,35333
791,2016,228019
792,2016,39743822
793,2016,664381
794,2016,14190
795,2016,17667
796,2016,36702972
797,2016,19145
798,2016,21040
799,2016,83622
800,2016,3057742
801,2016,651687
802,2016,118293
803,2016,499297
804,2016,58422
805,2016,46290
806,2016,196509
807,2016,91393
808,2016,19405
809,2016,322780
810,2016,42601
811,2016,141886
812,2016,91998
813,2016,1396423
814,2016,19439
815,2016,258451
816,2016,209619
817,2016,87217
818,2016,33364725
819,2016,360546
820,2016,4066038
821,2016,542129
822,2016,1620288
823,2016,507231
824,2016,137364
825,2016,30273
826,2016,185898
827,2016,22483
828,2016,19269
829,2016,18910
830,2016,36034
831,2016,47261
832,2016,19341
833,2016,5215485
834,2016,16173
835,2016,970444
836,2016,27619
837,2016,125304
838,2016,66519
839,2016,5393086
840,2016,73584
841,2016,17937
842,2016,18349
843,2016,4068243
844,2016,30435
845,2016,416956
846,2016,31325
847,2016,2392822
848,2016,25144
849,2016,4438781
850,2016,75317
851,2016,27980
852,2016,35322
853,2016,65051
854,2016,114800
855,2016,24843
856,2016,74174
857,2016,10456523
858,2016,77359
859,2016,50705
860,2016,20269
861,2016,119628
862,2016,165173
863,2016,82377
864,2016,261137
865,2016,99768
866,2016,90462
867,2016,39439
868,2016,85902
869,2016,425
870,2016,4207696
871,2016,779352
872,2016,5234734
873,2016,23870
874,2016,219471
875,2016,1494293
876,2016,29383
877,2016,19103169
878,2016,22489
879,2016,41182
880,2016,897215
881,2016,145681
882,2016,21488
883,2016,50850
884,2016,16704
885,2016,383391
886,2016,94007
887,2016,105459
888,2016,118408
889,2016,72127
890,2016,29736
891,2016,50446
892,2016,329035
893,2016,551550
894,2016,112012
895,2016,12094
896,2017,52368
897,2017,24726
898,2017,30616
899,2017,23319
900,2017,25355
901,2017,407757
902,2017,3396
903,2017,71158
904,2017,25198
905,2017,178260
906,2017,26233
907,2017,217844
908,2017,59533
909,2017,15435
910,2017,110995
911,2017,22632
912,2017,4990
913,2017,53327
914,2017,37352
915,2017,77150
916,2017,18238
